"time","x","y","s","a","dis","o","dir","event","nflId","displayName","jerseyNumber","position","team","frameId","gameId","playId","playDirection"
"2019-09-06T00:45:18.400",2.62,26.89,16.91,9.07,1.84,NA,NA,"None",NA,"football",NA,NA,"football",41,2019090500,625,"left"
"2019-09-06T00:45:18.500",0.92,26.87,16.35,7.62,1.71,NA,NA,"field_goal",NA,"football",NA,NA,"football",42,2019090500,625,"left"
"2019-09-06T00:45:18.600",-0.7,26.85,15.72,6.84,1.61,NA,NA,"None",NA,"football",NA,NA,"football",43,2019090500,625,"left"
"2019-09-06T00:45:18.700",-2.28,26.81,15.35,5.86,1.58,NA,NA,"None",NA,"football",NA,NA,"football",44,2019090500,625,"left"
"2019-09-06T00:45:18.800",-3.8,26.76,14.89,5.16,1.52,NA,NA,"None",NA,"football",NA,NA,"football",45,2019090500,625,"left"
"2019-09-06T01:08:14.400",2.82,26.4,17.62,6.9,1.83,NA,NA,"None",NA,"football",NA,NA,"football",37,2019090500,1184,"left"
"2019-09-06T01:08:14.500",1.08,26.39,17.02,6.59,1.75,NA,NA,"None",NA,"football",NA,NA,"football",38,2019090500,1184,"left"
"2019-09-06T01:08:14.600",-0.72,26.38,16.04,8.1,1.79,NA,NA,"None",NA,"football",NA,NA,"football",39,2019090500,1184,"left"
"2019-09-06T01:08:14.700",-2.28,26.38,15.23,8.07,1.57,NA,NA,"None",NA,"football",NA,NA,"football",40,2019090500,1184,"left"
"2019-09-06T01:08:14.800",-3.58,26.37,15.16,5.1,1.3,NA,NA,"None",NA,"football",NA,NA,"football",41,2019090500,1184,"left"
"2019-09-06T03:05:00.600",117.04,27.14,14.25,21.78,1.88,NA,NA,"field_goal",NA,"football",NA,NA,"football",44,2019090500,3929,"right"
"2019-09-06T03:05:00.700",118.48,26.99,12.34,24.73,1.45,NA,NA,"None",NA,"football",NA,NA,"football",45,2019090500,3929,"right"
"2019-09-06T03:05:00.800",120.49,26.83,11.38,23.11,2.02,NA,NA,"None",NA,"football",NA,NA,"football",46,2019090500,3929,"right"
"2019-09-06T03:05:00.900",121.46,26.73,9.57,13.41,0.97,NA,NA,"None",NA,"football",NA,NA,"football",47,2019090500,3929,"right"
"2019-09-06T03:05:01.000",122.97,26.62,9.74,7.11,1.52,NA,NA,"None",NA,"football",NA,NA,"football",48,2019090500,3929,"right"
"2019-09-08T17:36:38.500",116.65,23.44,15.29,3.22,1.61,NA,NA,"None",NA,"football",NA,NA,"football",52,2019090800,836,"right"
"2019-09-08T17:36:38.600",118.34,23.32,15.59,2.37,1.7,NA,NA,"None",NA,"football",NA,NA,"football",53,2019090800,836,"right"
"2019-09-08T17:36:38.700",119.89,23.23,15.2,2.85,1.55,NA,NA,"None",NA,"football",NA,NA,"football",54,2019090800,836,"right"
"2019-09-08T17:36:38.800",121.34,23.15,14.31,5.11,1.46,NA,NA,"field_goal_missed",NA,"football",NA,NA,"football",55,2019090800,836,"right"
"2019-09-08T17:36:38.900",122.68,23.07,13.52,8.98,1.34,NA,NA,"None",NA,"football",NA,NA,"football",56,2019090800,836,"right"
"2019-09-08T17:44:24.300",117.18,28.58,15.22,5.98,1.83,NA,NA,"None",NA,"football",NA,NA,"football",49,2019090800,1027,"right"
"2019-09-08T17:44:24.400",118.76,28.83,15.13,5.11,1.6,NA,NA,"None",NA,"football",NA,NA,"football",50,2019090800,1027,"right"
"2019-09-08T17:44:24.500",120.22,29.09,14.63,5.1,1.49,NA,NA,"None",NA,"football",NA,NA,"football",51,2019090800,1027,"right"
