"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId"
"2019-09-06T00:45:18.400",2.62,26.89,16.91,9.07,1.84,"None",46426,"Eddy Pineiro",41,625,2019090500
"2019-09-06T00:45:18.500",0.92,26.87,16.35,7.62,1.71,"field_goal",46426,"Eddy Pineiro",42,625,2019090500
"2019-09-06T00:45:18.600",-0.7,26.85,15.72,6.84,1.61,"None",46426,"Eddy Pineiro",43,625,2019090500
"2019-09-06T00:45:18.700",-2.28,26.81,15.35,5.86,1.58,"None",46426,"Eddy Pineiro",44,625,2019090500
"2019-09-06T00:45:18.800",-3.8,26.76,14.89,5.16,1.52,"None",46426,"Eddy Pineiro",45,625,2019090500
"2019-09-06T01:08:14.400",2.82,26.4,17.62,6.9,1.83,"None",32386,"Mason Crosby",37,1184,2019090500
"2019-09-06T01:08:14.500",1.08,26.39,17.02,6.59,1.75,"None",32386,"Mason Crosby",38,1184,2019090500
"2019-09-06T01:08:14.600",-0.72,26.38,16.04,8.1,1.79,"None",32386,"Mason Crosby",39,1184,2019090500
"2019-09-06T01:08:14.700",-2.28,26.38,15.23,8.07,1.57,"None",32386,"Mason Crosby",40,1184,2019090500
"2019-09-06T01:08:14.800",-3.58,26.37,15.16,5.1,1.3,"None",32386,"Mason Crosby",41,1184,2019090500
"2019-09-06T03:05:00.600",117.04,27.14,14.25,21.78,1.88,"field_goal",32386,"Mason Crosby",44,3929,2019090500
"2019-09-06T03:05:00.700",118.48,26.99,12.34,24.73,1.45,"None",32386,"Mason Crosby",45,3929,2019090500
"2019-09-06T03:05:00.800",120.49,26.83,11.38,23.11,2.02,"None",32386,"Mason Crosby",46,3929,2019090500
"2019-09-06T03:05:00.900",121.46,26.73,9.57,13.41,0.97,"None",32386,"Mason Crosby",47,3929,2019090500
"2019-09-06T03:05:01.000",122.97,26.62,9.74,7.11,1.52,"None",32386,"Mason Crosby",48,3929,2019090500
"2019-09-08T17:36:38.500",116.65,23.44,15.29,3.22,1.61,"None",48337,"Joey Slye",52,836,2019090800
"2019-09-08T17:36:38.600",118.34,23.32,15.59,2.37,1.7,"None",48337,"Joey Slye",53,836,2019090800
"2019-09-08T17:36:38.700",119.89,23.23,15.2,2.85,1.55,"None",48337,"Joey Slye",54,836,2019090800
