"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId","playDirection"
2018-09-07 01:31:29.2,4.24,25.98,22.87,5.26,4.66,"None",27091,"Matt Bryant",34,658,2018090600,"left"
2018-09-07 01:31:29.3,1.57,26.43,22.2,7.13,2.71,"None",27091,"Matt Bryant",35,658,2018090600,"left"
2018-09-07 01:31:29.4,-0.7,26.82,21.37,8.97,2.3,"None",27091,"Matt Bryant",36,658,2018090600,"left"
2018-09-07 01:31:29.5,-2.65,27.15,20.92,6.85,1.98,"field_goal",27091,"Matt Bryant",37,658,2018090600,"left"
2018-09-07 01:31:29.6,-4.72,27.5,19.05,10.7,2.1,"None",27091,"Matt Bryant",38,658,2018090600,"left"
2018-09-07 01:59:56.8,3.7,26.94,20.65,11.26,2.4,"None",44966,"Jake Elliott",34,1368,2018090600,"left"
2018-09-07 01:59:56.9,1.46,27.53,20.04,10.44,2.32,"None",44966,"Jake Elliott",35,1368,2018090600,"left"
2018-09-07 01:59:57,-0.97,28.32,18.45,13.25,2.55,"None",44966,"Jake Elliott",36,1368,2018090600,"left"
2018-09-07 01:59:57.1,-3.03,29.01,17.24,12.88,2.17,"field_goal",44966,"Jake Elliott",37,1368,2018090600,"left"
2018-09-07 01:59:57.2,-4.92,29.71,16.5,12.09,2.02,"None",44966,"Jake Elliott",38,1368,2018090600,"left"
2018-09-07 02:11:43.3,66.29,25.84,3.53,12.61,0.02,"None",27091,"Matt Bryant",21,1587,2018090600,"right"
2018-09-07 02:11:43.4,66.23,25.85,2.23,8.47,0.06,"None",27091,"Matt Bryant",22,1587,2018090600,"right"
2018-09-07 02:11:43.5,66.27,25.86,1.34,5.48,0.04,"None",27091,"Matt Bryant",23,1587,2018090600,"right"
2018-09-07 02:11:43.6,66.28,25.87,0.79,3.43,0.01,"None",27091,"Matt Bryant",24,1587,2018090600,"right"
2018-09-07 02:11:43.7,66.22,25.87,0.53,2.32,0.05,"None",27091,"Matt Bryant",25,1587,2018090600,"right"
2018-09-07 03:15:49.5,3.39,25.77,16.15,9.31,1.13,"None",44966,"Jake Elliott",37,2883,2018090600,"left"
2018-09-07 03:15:49.6,1.69,25.84,16.69,20.64,1.7,"None",44966,"Jake Elliott",38,2883,2018090600,"left"
2018-09-07 03:15:49.7,-0.37,25.88,16.18,19.78,2.05,"None",44966,"Jake Elliott",39,2883,2018090600,"left"
2018-09-07 03:15:49.8,-1.55,25.86,13.23,15.2,1.18,"None",44966,"Jake Elliott",40,2883,2018090600,"left"
2018-09-07 03:15:49.9,-2.86,25.82,11.68,13.16,1.31,"None",44966,"Jake Elliott",41,2883,2018090600,"left"
2018-09-07 03:45:11,0.63,29.49,4.02,18.58,1.24,"None",27091,"Matt Bryant",43,3553,2018090600,"left"
2018-09-07 03:45:11.1,-0.09,29.54,2.24,20.39,0.73,"None",27091,"Matt Bryant",44,3553,2018090600,"left"
2018-09-07 03:45:11.2,-0.16,29.34,2.61,18.35,0.21,"None",27091,"Matt Bryant",45,3553,2018090600,"left"
