"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","specialTeamsPlayType","specialTeamsResult","yardlineNumber","kickLength"
"2019-09-06T00:45:18.400",2.62,26.89,16.91,9.07,1.84,"None",46426,"Eddy Pineiro",41,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",20,38
"2019-09-06T00:45:18.500",0.92,26.87,16.35,7.62,1.71,"field_goal",46426,"Eddy Pineiro",42,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",20,38
"2019-09-06T00:45:18.600",-0.7,26.85,15.72,6.84,1.61,"None",46426,"Eddy Pineiro",43,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",20,38
"2019-09-06T00:45:18.700",-2.28,26.81,15.35,5.86,1.58,"None",46426,"Eddy Pineiro",44,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",20,38
"2019-09-06T00:45:18.800",-3.8,26.76,14.89,5.16,1.52,"None",46426,"Eddy Pineiro",45,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",20,38
"2019-09-06T03:05:00.600",117.04,27.14,14.25,21.78,1.88,"field_goal",32386,"Mason Crosby",44,3929,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",21,39
"2019-09-06T03:05:00.700",118.48,26.99,12.34,24.73,1.45,"None",32386,"Mason Crosby",45,3929,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",21,39
"2019-09-06T03:05:00.800",120.49,26.83,11.38,23.11,2.02,"None",32386,"Mason Crosby",46,3929,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",21,39
"2019-09-06T03:05:00.900",121.46,26.73,9.57,13.41,0.97,"None",32386,"Mason Crosby",47,3929,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",21,39
"2019-09-06T03:05:01.000",122.97,26.62,9.74,7.11,1.52,"None",32386,"Mason Crosby",48,3929,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Field Goal","Kick Attempt Good",21,39
"2019-09-08T17:36:38.500",116.65,23.44,15.29,3.22,1.61,"None",48337,"Joey Slye",52,836,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt No Good",35,53
"2019-09-08T17:36:38.600",118.34,23.32,15.59,2.37,1.7,"None",48337,"Joey Slye",53,836,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt No Good",35,53
"2019-09-08T17:36:38.700",119.89,23.23,15.2,2.85,1.55,"None",48337,"Joey Slye",54,836,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt No Good",35,53
"2019-09-08T17:36:38.800",121.34,23.15,14.31,5.11,1.46,"field_goal_missed",48337,"Joey Slye",55,836,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt No Good",35,53
"2019-09-08T17:36:38.900",122.68,23.07,13.52,8.98,1.34,"None",48337,"Joey Slye",56,836,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt No Good",35,53
"2019-09-08T17:44:24.300",117.18,28.58,15.22,5.98,1.83,"None",38701,"Greg Zuerlein",49,1027,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",31,49
"2019-09-08T17:44:24.400",118.76,28.83,15.13,5.11,1.6,"None",38701,"Greg Zuerlein",50,1027,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",31,49
"2019-09-08T17:44:24.500",120.22,29.09,14.63,5.1,1.49,"None",38701,"Greg Zuerlein",51,1027,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",31,49
"2019-09-08T17:44:24.600",121.63,29.35,14.14,4.83,1.44,"None",38701,"Greg Zuerlein",52,1027,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",31,49
"2019-09-08T17:44:24.700",123,29.61,13.68,4.4,1.39,"None",38701,"Greg Zuerlein",53,1027,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",31,49
"2019-09-08T19:30:15.300",2.87,25.23,6.02,9.58,0.65,"None",48337,"Joey Slye",51,3427,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",34,52
"2019-09-08T19:30:15.400",1.86,25.11,6.39,5.53,1.02,"None",48337,"Joey Slye",52,3427,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",34,52
"2019-09-08T19:30:15.500",0.39,24.9,8.56,2.16,1.48,"None",48337,"Joey Slye",53,3427,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",34,52
"2019-09-08T19:30:15.600",-0.61,24.79,9.2,7.18,1,"field_goal",48337,"Joey Slye",54,3427,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",34,52
"2019-09-08T19:30:15.700",-1.93,24.67,10.46,2.12,1.33,"None",48337,"Joey Slye",55,3427,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Field Goal","Kick Attempt Good",34,52
"2019-09-08T17:22:56.900",115.79,25.71,22.54,7.26,2.24,"None",41991,"Cairo Santos",42,506,2019090801,71.96,53.96,53,0,12.74,30,30.097,"Clear","Field Goal","Kick Attempt Good",19,37
"2019-09-08T17:22:57.000",117.91,25.75,21.4,8.44,2.12,"None",41991,"Cairo Santos",43,506,2019090801,71.96,53.96,53,0,12.74,30,30.097,"Clear","Field Goal","Kick Attempt Good",19,37
"2019-09-08T17:22:57.100",119.86,25.86,19.03,12.33,1.95,"None",41991,"Cairo Santos",44,506,2019090801,71.96,53.96,53,0,12.74,30,30.097,"Clear","Field Goal","Kick Attempt Good",19,37
"2019-09-08T17:22:57.200",121.71,25.91,17.82,12.32,1.85,"None",41991,"Cairo Santos",45,506,2019090801,71.96,53.96,53,0,12.74,30,30.097,"Clear","Field Goal","Kick Attempt Good",19,37
"2019-09-08T17:22:57.300",123.43,25.96,16.61,12.1,1.72,"None",41991,"Cairo Santos",46,506,2019090801,71.96,53.96,53,0,12.74,30,30.097,"Clear","Field Goal","Kick Attempt Good",19,37
"2019-09-08T17:19:02.700",3.21,27.78,20.63,10.77,1.71,"None",45046,"Harrison Butker",37,366,2019090802,91.04,71.06,52,0,0,NA,30.0172,"Clear","Field Goal","Kick Attempt Good",9,28
"2019-09-08T17:19:02.800",1.2,27.6,19.61,10.38,2.01,"None",45046,"Harrison Butker",38,366,2019090802,91.04,71.06,52,0,0,NA,30.0172,"Clear","Field Goal","Kick Attempt Good",9,28
"2019-09-08T17:19:02.900",-0.7,27.41,18.62,9.86,1.91,"None",45046,"Harrison Butker",39,366,2019090802,91.04,71.06,52,0,0,NA,30.0172,"Clear","Field Goal","Kick Attempt Good",9,28
