"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","specialTeamsPlayType","specialTeamsResult","yardlineNumber","kickLength"
"2019-09-06T01:08:14.400",2.82,26.4,17.62,6.9,1.83,"None",32386,"Mason Crosby",37,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-06T01:08:14.500",1.08,26.39,17.02,6.59,1.75,"None",32386,"Mason Crosby",38,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-06T01:08:14.600",-0.72,26.38,16.04,8.1,1.79,"None",32386,"Mason Crosby",39,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-06T01:08:14.700",-2.28,26.38,15.23,8.07,1.57,"None",32386,"Mason Crosby",40,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-06T01:08:14.800",-3.58,26.37,15.16,5.1,1.3,"None",32386,"Mason Crosby",41,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T17:52:57.700",117.19,27.78,23.21,5.06,2.6,"None",38701,"Greg Zuerlein",40,1182,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T17:52:57.800",119.5,27.94,22.24,22.57,2.31,"None",38701,"Greg Zuerlein",41,1182,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T17:52:57.900",121.61,28.07,19.88,30.21,2.11,"None",38701,"Greg Zuerlein",42,1182,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T17:52:58.000",123.44,28.19,16.95,29.34,1.84,"None",38701,"Greg Zuerlein",43,1182,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T17:52:58.100",124.99,28.29,14.17,26.79,1.55,"None",38701,"Greg Zuerlein",44,1182,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:00:41.500",2.61,25.48,20.67,5.68,2.37,"extra_point",48337,"Joey Slye",37,2728,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:00:41.600",0.47,25.27,19.52,24.44,2.15,"None",48337,"Joey Slye",38,2728,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:00:41.700",-1.34,25.13,16.68,30.77,1.82,"None",48337,"Joey Slye",39,2728,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:00:41.800",-3.08,24.87,14.08,31.11,1.76,"None",48337,"Joey Slye",40,2728,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:00:41.900",-4.47,24.66,11.27,27.93,1.4,"None",48337,"Joey Slye",41,2728,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:21:55.500",116.92,26.85,18.03,10.41,2.08,"None",38701,"Greg Zuerlein",38,3166,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:21:55.600",118.68,26.87,16.9,11.5,1.75,"None",38701,"Greg Zuerlein",39,3166,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:21:55.700",120.05,26.91,16.48,7.49,1.37,"extra_point",38701,"Greg Zuerlein",40,3166,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:21:55.800",121.64,26.95,15.56,7.76,1.59,"None",38701,"Greg Zuerlein",41,3166,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:21:55.900",123.15,26.99,14.8,7.44,1.52,"None",38701,"Greg Zuerlein",42,3166,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:41:00.300",117.21,27.3,19.31,23.01,2.15,"None",48337,"Joey Slye",38,3697,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:41:00.400",119.13,27.42,17.08,27.97,1.93,"None",48337,"Joey Slye",39,3697,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:41:00.500",120.85,27.53,14.64,27.09,1.72,"None",48337,"Joey Slye",40,3697,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:41:00.600",122.4,27.63,12.4,24.76,1.55,"None",48337,"Joey Slye",41,3697,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T19:41:00.700",123.52,27.7,10.1,21.35,1.12,"None",48337,"Joey Slye",42,3697,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
"2019-09-08T20:12:58.900",114.72,26.04,27.97,0.66,2.24,"None",48337,"Joey Slye",38,4496,2019090800,84.2,62.42,48,0,5.84,60,30.0231,"Clear","Extra Point","Kick Attempt Good",15,33
