"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","specialTeamsPlayType","specialTeamsResult","yardlineNumber","kickLength","year"
"2018-09-09T17:30:31.000",-0.08,23.69,23.47,12.47,2.75,"field_goal",21213,"Adam Vinatieri",33,757,2018090902,60.08,57.2,90,0,11.43,50,29.9109,"Clear","Field Goal","Kick Attempt Good",3,21,2018
"2018-09-09T18:05:08.200",120.13,24.39,15.14,8.09,1.8,"None",21213,"Adam Vinatieri",41,1574,2018090902,60.08,57.2,90,0,11.43,50,29.9109,"Clear","Field Goal","Kick Attempt Good",20,38,2018
"2018-09-09T18:24:25.400",119.7,28.16,11.46,3.63,1.3,"field_goal",21213,"Adam Vinatieri",52,2084,2018090902,60.08,57.2,90,0,11.43,50,29.9109,"Clear","Field Goal","Kick Attempt Good",33,51,2018
"2018-09-09T19:18:41.900",-0.07,27.3,11.3,7.65,1.39,"field_goal_missed",21213,"Adam Vinatieri",52,3135,2018090902,60.08,57.2,90,0,11.43,50,29.9109,"Clear","Field Goal","Kick Attempt No Good",37,55,2018
"2018-09-23T18:46:11.000",-1.09,29.91,15.04,1.59,1.37,"None",21213,"Adam Vinatieri",44,2332,2018092308,60.98,59,93,0.031,6.96,60,30.2446,"Light Rain","Field Goal","Kick Attempt Good",17,35,2018
"2018-09-23T18:55:54.000",-1.03,28.91,15.97,5.18,1.79,"None",21213,"Adam Vinatieri",40,2493,2018092308,60.98,59,93,0.031,6.96,60,30.2446,"Light Rain","Field Goal","Kick Attempt Good",13,31,2018
"2018-09-23T19:23:33.400",119.63,25,15.97,7.71,1.65,"None",21213,"Adam Vinatieri",39,3154,2018092308,60.98,59,93,0.031,6.96,60,30.2446,"Light Rain","Field Goal","Kick Attempt Good",10,28,2018
"2018-09-30T18:36:44.100",119.96,25.76,16.04,7.36,1.83,"None",21213,"Adam Vinatieri",42,2357,2018093004,71.96,59.18,64,0,6.96,210,30.2298,"Clear","Field Goal","Kick Attempt Good",24,42,2018
"2018-09-30T20:37:39.900",-0.79,29.45,13.42,7.01,1.58,"None",21213,"Adam Vinatieri",45,5048,2018093004,71.96,59.18,64,0,6.96,210,30.2298,"Clear","Field Goal","Kick Attempt Good",25,44,2018
"2018-10-05T00:52:38.500",119.43,31,6.29,13.64,0.5,"None",21213,"Adam Vinatieri",46,883,2018100400,66.2,64.4,94,NA,7.52,NA,29.9139,NA,"Field Goal","Kick Attempt No Good",20,38,2018
"2018-10-05T01:13:14.100",0.06,25.56,11.31,5.99,1.36,"None",21213,"Adam Vinatieri",55,1363,2018100400,66.2,64.4,94,NA,7.52,NA,29.9139,NA,"Field Goal","Kick Attempt Good",36,54,2018
"2018-10-14T17:41:51.400",0.63,26.48,21.01,11.74,2.42,"None",21213,"Adam Vinatieri",34,1030,2018101406,57.02,41.9,57,0,4.72,180,30.2446,"Clear","Field Goal","Kick Attempt Good",3,21,2018
"2018-10-14T17:49:11.800",0.09,27.43,16.83,8.37,2,"None",21213,"Adam Vinatieri",39,1222,2018101406,57.02,41.9,57,0,4.72,180,30.2446,"Clear","Field Goal","Kick Attempt Good",13,31,2018
"2018-10-21T18:25:14.200",-0.4,23.31,14.07,10.63,1.51,"None",21213,"Adam Vinatieri",40,2004,2018102103,42.98,26.06,51,0,0,NA,30.3952,"Clear","Field Goal","Kick Attempt Good",18,36,2018
"2018-10-28T20:33:41.900",-1.05,26.52,15.42,15.92,2.02,"None",21213,"Adam Vinatieri",35,956,2018102808,71.6,57.38,61,NA,6.84,270,30.1442,NA,"Field Goal","Kick Attempt Good",8,26,2018
"2018-10-28T21:23:02.400",120.69,26.42,12.15,18.08,1.54,"None",21213,"Adam Vinatieri",35,1984,2018102808,71.6,57.38,61,NA,6.84,270,30.1442,NA,"Field Goal","Kick Attempt Good",7,25,2018
"2018-11-11T20:55:56.700",-0.63,33.59,10.66,5.01,1.24,"None",21213,"Adam Vinatieri",51,3889,2018111104,37.94,16.88,42,0,11.43,180,30.3391,"Clear","Field Goal","Kick Attempt No Good",34,52,2018
"2018-11-18T18:49:21.400",121.27,27.37,22.86,9.16,2.61,"None",21213,"Adam Vinatieri",33,1236,2018111804,42.08,35.96,79,0,8.08,0,30.2121,"Clear","Field Goal","Kick Attempt Good",4,22,2018
"2018-11-25T23:23:51.400",4.3,17.73,3.92,0.78,0.43,"None",21213,"Adam Vinatieri",54,2890,2018112504,57.02,46.22,67,0,17.21,140,29.6599,"Clear","Field Goal","Kick Attempt No Good",30,48,2018
"2018-11-25T23:47:51.400",119.9,26.6,11.65,6.14,1.45,"None",21213,"Adam Vinatieri",45,3518,2018112504,57.02,46.22,67,0,17.21,140,29.6599,"Clear","Field Goal","Kick Attempt Good",28,46,2018
"2018-11-26T00:21:02.300",120.15,27.8,20.18,10.09,2.38,"None",21213,"Adam Vinatieri",35,4217,2018112504,57.02,46.22,67,0,17.21,140,29.6599,"Clear","Field Goal","Kick Attempt Good",14,32,2018
"2018-12-09T19:36:50.500",120.63,25.64,13.04,3.57,1.46,"None",21213,"Adam Vinatieri",52,2509,2018120904,44.96,40.1,83,0,9.2,320,30.3155,"Clear","Field Goal","Kick Attempt Good",36,54,2018
"2018-12-16T19:24:23.600",119.62,25.69,12.06,6.91,1.48,"None",21213,"Adam Vinatieri",45,2244,2018121605,46.94,39.74,76,0,8.08,270,30.1147,"Clear","Field Goal","Kick Attempt Good",25,43,2018
"2018-12-16T20:03:32.700",120.4,26.35,12.77,7.6,1.47,"None",21213,"Adam Vinatieri",45,2991,2018121605,46.94,39.74,76,0,8.08,270,30.1147,"Clear","Field Goal","Kick Attempt Good",26,44,2018
"2018-09-09T17:33:09.800",120.48,28.88,14.41,15.16,2.02,"None",43937,"Aldrick Rosas",40,801,2018090907,59,53.24,81,0.02,6.96,40,30.2269,"Light Rain","Field Goal","Kick Attempt Good",9,27,2018
"2018-09-09T18:17:57.600",0.41,27.77,13.02,4.96,1.06,"None",43937,"Aldrick Rosas",40,1848,2018090907,59,53.24,81,0.02,6.96,40,30.2269,"Light Rain","Field Goal","Kick Attempt Good",13,31,2018
"2018-09-09T18:43:52.500",119.83,26.29,10.56,5.19,1.26,"None",43937,"Aldrick Rosas",53,2248,2018090907,59,53.24,81,0.02,6.96,40,30.2269,"Light Rain","Field Goal","Kick Attempt Good",26,44,2018
"2018-09-17T02:17:15.600",-0.22,24.58,15.49,7.67,1.83,"None",43937,"Aldrick Rosas",37,2438,2018091613,87.8,69.62,55,0,4.72,80,29.8784,"Clear","Field Goal","Kick Attempt Good",10,28,2018
"2018-09-23T17:42:43.000",120.5,29,11.89,8.32,1.39,"None",43937,"Aldrick Rosas",50,1060,2018092303,77,71.06,82,0,3.36,210,29.9464,"Clear","Field Goal","Kick Attempt Good",26,44,2018
"2018-09-23T18:02:42.700",120.43,27.45,14.81,11.3,2.05,"None",43937,"Aldrick Rosas",37,1467,2018092303,77,71.06,82,0,3.36,210,29.9464,"Clear","Field Goal","Kick Attempt Good",12,30,2018
"2018-09-30T22:25:03.500",119.55,27.86,12.45,6.36,1.48,"None",43937,"Aldrick Rosas",43,2705,2018093011,71.06,54.14,55,0,8.08,190,30.283,"Clear","Field Goal","Kick Attempt Good",14,33,2018
"2018-10-07T17:19:48.800",120.36,26.96,12.6,5.18,1.55,"None",43937,"Aldrick Rosas",48,477,2018100701,77,71.42,83,0,0,NA,30.2446,"Clear","Field Goal","Kick Attempt Good",23,42,2018
"2018-10-07T18:28:20.700",-0.09,24.96,13.81,5.86,1.78,"None",43937,"Aldrick Rosas",54,1969,2018100701,77,71.42,83,0,0,NA,30.2446,"Clear","Field Goal","Kick Attempt Good",35,53,2018
"2018-10-07T19:01:49.200",-0.28,26.95,15.15,20.08,1.67,"field_goal",43937,"Aldrick Rosas",38,2504,2018100701,77,71.42,83,0,0,NA,30.2446,"Clear","Field Goal","Kick Attempt Good",18,36,2018
"2018-10-12T00:37:36.000",-0.29,28.29,13.44,8.64,1.27,"None",43937,"Aldrick Rosas",42,404,2018101100,71.06,69.8,96,0.031,3.36,190,29.5772,"Light Rain","Field Goal","Kick Attempt Good",15,33,2018
"2018-10-12T01:30:13.100",120.25,27.88,17.03,19.05,1.82,"None",43937,"Aldrick Rosas",34,1636,2018101100,71.06,69.8,96,0.031,3.36,190,29.5772,"Light Rain","Field Goal","Kick Attempt Good",3,21,2018
"2018-10-12T01:57:34.200",120.54,26.22,3.74,9.32,0.42,"None",43937,"Aldrick Rosas",63,2234,2018101100,71.06,69.8,96,0.031,3.36,190,29.5772,"Light Rain","Field Goal","Kick Attempt No Good",34,52,2018
"2018-10-23T01:22:31.900",-0.74,26.71,13.17,8.81,1.53,"field_goal",43937,"Aldrick Rosas",40,1668,2018102200,51.98,46.94,83,0,0,NA,30.2387,"Clear","Field Goal","Kick Attempt Good",13,31,2018
"2018-10-28T18:16:41.000",-0.61,28.18,9.62,7.47,1.41,"None",43937,"Aldrick Rosas",43,1771,2018102806,51.08,43.16,74,0,10.31,240,29.7751,"Clear","Field Goal","Kick Attempt Good",18,37,2018
"2018-10-28T19:51:54.800",119.8,28.16,22.23,11.83,1.83,"None",43937,"Aldrick Rosas",33,3609,2018102806,51.08,43.16,74,0,10.31,240,29.7751,"Clear","Field Goal","Kick Attempt Good",3,21,2018
"2018-11-13T02:22:11.000",0.15,26.58,17.82,13.69,1.9,"None",43937,"Aldrick Rosas",36,1711,2018111200,62.96,28.4,27,0,0,NA,30.2859,"Clear","Field Goal","Kick Attempt Good",2,20,2018
