"gameId","playId","time","x","y","s","a","dis","o","dir","nflId","displayName","position","team","TimeMeasure","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","quarter","specialTeamsPlayType","specialTeamsResult","kickerId","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","kickLength","absoluteYardlineNumber","FG_success","XP_success","real_angle","deviation_distance","year"
2018090600,658,"2018-09-07T01:31:29.500",20.81,22,0.19,1.36,0.03,280.88,119.52,27091,"Matt Bryant","K","away","2018-09-06T15:51:00.000",80.6,66.38,62,NA,11.81,290,30.091,NA,1,"Field Goal","Kick Attempt Good",27091,3,"05:03:00",0,0,21,13,1,NA,7.5507890831505,0.0492388016877001,2018
2018090600,1368,"2018-09-07T01:59:57.098",24.7,22.85,0.19,1.53,0.02,254.81,226.34,44966,"Jake Elliott","K","home","2018-09-06T15:51:00.000",80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",44966,8,"06:12:00",0,3,26,18,1,NA,8.30872233566726,1.4095571557414,2018
2018090600,1587,"2018-09-07T02:11:46.700",66.95,27.26,0.34,0.34,0.03,20.39,164.14,27091,"Matt Bryant","K","away","2018-09-06T15:51:00.000",80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",27091,34,"02:13:00",3,3,52,76,1,NA,0.104287057091063,0.877887910270999,2018
2018090600,2883,"2018-09-07T03:15:50.098",31.57,25.48,0.54,0.89,0.05,287.94,76.39,44966,"Jake Elliott","K","home","2018-09-06T15:51:00.000",80.6,66.38,62,NA,11.81,290,30.091,NA,3,"Extra Point","Kick Attempt Good",44966,15,"04:37:00",9,6,33,25,NA,1,2.06750175271185,0.8154632163901,2018
2018090600,3553,"2018-09-07T03:45:12.098",35.4,25.46,0.44,0.2,0.05,17.88,58.86,27091,"Matt Bryant","K","away","2018-09-06T15:51:00.000",80.6,66.38,62,NA,11.81,290,30.091,NA,4,"Extra Point","Kick Attempt No Good",27091,15,"09:48:00",10,12,33,25,NA,0,4.05071711181346,2.5863179563956,2018
2018090900,380,"2018-09-09T17:13:38.700",88.07,27.46,1.2,1.15,0.11,119.98,218.62,39470,"Justin Tucker","K","home","2018-09-09T08:00:00.000",62.96,60.98,93,0.118,17.21,70,30.1029,"Moderate Rain",1,"Extra Point","Kick Attempt Good",39470,15,"08:42:00",6,0,33,95,NA,1,1.20532178958878,0.415793288662098,2018
2018090900,972,"2018-09-09T17:39:08.900",87.67,26.57,1.35,0.82,0.13,166.29,196.68,39470,"Justin Tucker","K","home","2018-09-09T08:00:00.000",62.96,60.98,93,0.118,17.21,70,30.1029,"Moderate Rain",1,"Extra Point","Kick Attempt Good",39470,15,"01:32:00",13,0,33,95,NA,1,4.90975244868377,2.1281007915293,2018
2018090900,1226,"2018-09-09T17:50:22.000",40.49,23.67,0.88,0.61,0.09,291.04,355.47,39470,"Justin Tucker","K","home","2018-09-09T08:00:00.000",62.96,60.98,93,0.118,17.21,70,30.1029,"Moderate Rain",2,"Field Goal","Kick Attempt Good",39470,23,"13:18:00",14,0,41,33,1,NA,7.03397151111676,2.6911834371134,2018
2018090900,1613,"2018-09-09T18:08:06.500",67.41,27.41,0.11,0.99,0,90.96,109.78,33469,"Stephen Hauschka","K","away","2018-09-09T08:00:00.000",62.96,60.98,93,0.118,17.21,70,30.1029,"Moderate Rain",2,"Field Goal","Kick Attempt No Good",33469,34,"08:48:00",17,0,52,76,0,NA,3.69860121979054,3.2062821518193,2018
2018090900,1973,"2018-09-09T18:22:16.098",39.15,28.19,0.96,1.48,0.09,235.94,103.26,39470,"Justin Tucker","K","home","2018-09-09T08:00:00.000",62.96,60.98,93,0.118,17.21,70,30.1029,"Moderate Rain",2,"Field Goal","Kick Attempt Good",39470,21,"04:20:00",17,0,39,31,1,NA,2.38817359381506,1.7366571570598,2018
2018090900,2757,"2018-09-09T19:00:43.598",32.97,24.15,0.72,1.25,0.07,278.02,61.81,39470,"Justin Tucker","K","home","2018-09-09T08:00:00.000",62.96,60.98,93,0.118,17.21,70,30.1029,"Moderate Rain",3,"Extra Point","Kick Attempt Good",39470,15,"12:28:00",32,0,33,25,NA,1,2.33516283033658,0.2763232870054,2018
