"gameId","playId","quarter","specialTeamsPlayType","specialTeamsResult","kickerId","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","kickLength","absoluteYardlineNumber"
2018090600,658,1,"Field Goal","Kick Attempt Good",27091,3,"05:03:00",0,0,21,13
2018090600,1368,2,"Field Goal","Kick Attempt Good",44966,8,"06:12:00",0,3,26,18
2018090600,1587,2,"Field Goal","Kick Attempt Good",27091,34,"02:13:00",3,3,52,76
2018090600,2883,3,"Extra Point","Kick Attempt Good",44966,15,"04:37:00",9,6,NA,25
2018090600,3553,4,"Extra Point","Kick Attempt No Good",27091,15,"09:48:00",10,12,NA,25
2018090900,380,1,"Extra Point","Kick Attempt Good",39470,15,"08:42:00",6,0,NA,95
2018090900,972,1,"Extra Point","Kick Attempt Good",39470,15,"01:32:00",13,0,NA,95
2018090900,1226,2,"Field Goal","Kick Attempt Good",39470,23,"13:18:00",14,0,41,33
2018090900,1613,2,"Field Goal","Kick Attempt No Good",33469,34,"08:48:00",17,0,52,76
2018090900,1973,2,"Field Goal","Kick Attempt Good",39470,21,"04:20:00",17,0,39,31
2018090900,2757,3,"Extra Point","Kick Attempt Good",39470,15,"12:28:00",32,0,NA,25
2018090900,2899,3,"Extra Point","Kick Attempt Good",39470,15,"11:22:00",39,0,NA,25
2018090900,3461,3,"Field Goal","Kick Attempt Good",33469,17,"02:42:00",40,0,35,93
2018090900,4220,4,"Extra Point","Kick Attempt Good",39470,15,"03:52:00",46,3,NA,95
2018090901,1254,2,"Extra Point","Kick Attempt Good",41953,15,"11:16:00",0,6,NA,25
2018090901,2286,3,"Extra Point","Kick Attempt Good",45037,15,"10:05:00",6,7,NA,25
2018090901,2473,3,"Extra Point","Kick Attempt Good",41953,15,"08:24:00",7,13,NA,95
2018090901,2708,3,"Extra Point","Kick Attempt Good",41953,15,"05:23:00",7,20,NA,95
2018090901,3799,4,"Extra Point","Kick Attempt Good",45037,15,"07:32:00",13,21,NA,95
2018090901,4214,4,"Extra Point","Kick Attempt Good",45037,15,"01:58:00",20,21,NA,95
2018090901,5191,5,"Field Goal","Kick Attempt No Good",41953,24,"01:47:00",21,21,42,34
2018090901,5480,5,"Field Goal","Blocked Kick Attempt",45037,25,"00:13:00",21,21,NA,85
2018090902,394,1,"Field Goal","Kick Attempt Good",38691,24,"08:25:00",0,0,42,86
2018090902,757,1,"Field Goal","Kick Attempt Good",21213,3,"01:27:00",0,3,21,13
2018090902,1110,2,"Extra Point","Kick Attempt Good",21213,15,"12:02:00",9,3,NA,95
2018090902,1574,2,"Field Goal","Kick Attempt Good",21213,20,"03:06:00",10,3,38,90
2018090902,1777,2,"Extra Point","Kick Attempt Good",38691,15,"01:44:00",13,9,NA,25
2018090902,2084,2,"Field Goal","Kick Attempt Good",21213,33,"00:06:00",13,10,51,77
2018090902,2849,3,"Extra Point","Kick Attempt Good",38691,15,"04:09:00",23,16,NA,95
2018090902,3135,3,"Field Goal","Kick Attempt No Good",21213,37,"00:17:00",23,17,55,47
2018090902,3440,4,"Extra Point","Kick Attempt Good",38691,15,"11:07:00",23,23,NA,25
2018090902,3873,4,"Field Goal","Kick Attempt Good",38691,21,"04:01:00",23,24,39,31
2018090902,4260,4,"Extra Point","Kick Attempt Good",38691,15,"00:24:00",23,33,NA,25
2018090903,240,1,"Field Goal","Kick Attempt Good",34707,28,"10:22:00",0,0,47,82
2018090903,1094,2,"Extra Point","Kick Attempt Good",46298,15,"11:21:00",6,3,NA,95
2018090903,2661,3,"Field Goal","Kick Attempt Good",46298,9,"04:09:00",7,3,27,19
2018090903,2940,4,"Extra Point","Kick Attempt Good",34707,15,"14:17:00",10,9,NA,25
2018090903,2976,4,"Extra Point","Kick Attempt Good",46298,15,"14:04:00",16,10,NA,95
2018090903,3284,4,"Extra Point","Kick Attempt Good",46298,15,"10:22:00",23,10,NA,95
2018090903,3690,4,"Field Goal","Kick Attempt Good",46298,12,"03:53:00",24,17,30,98
2018090903,4143,4,"Field Goal","Kick Attempt Good",34707,35,"00:16:00",27,17,53,45
2018090905,248,1,"Extra Point","Kick Attempt Good",30932,15,"11:50:00",6,0,NA,95
2018090905,848,1,"Field Goal","Kick Attempt Good",43846,24,"02:37:00",7,0,42,34
2018090905,1158,2,"Extra Point","Kick Attempt Good",30932,15,"12:38:00",13,3,NA,25
2018090905,1378,2,"Field Goal","Kick Attempt Good",43846,19,"09:03:00",14,3,36,91
2018090905,2213,2,"Extra Point","Kick Attempt Good",30932,15,"00:14:00",20,6,NA,25
2018090905,2883,3,"Field Goal","Kick Attempt Good",30932,20,"06:05:00",21,6,39,90
2018090905,3166,3,"Extra Point","Kick Attempt Good",43846,15,"01:52:00",24,12,NA,25
2018090905,3505,4,"Field Goal","Kick Attempt Good",30932,17,"09:53:00",24,13,35,27
2018090905,4073,4,"Extra Point","Kick Attempt Good",43846,15,"02:08:00",27,19,NA,95
2018090906,240,1,"Extra Point","Kick Attempt Good",43689,15,"11:41:00",6,0,NA,25
2018090906,383,1,"Extra Point","Kick Attempt Good",41736,15,"09:41:00",7,6,NA,95
2018090906,830,1,"Extra Point","Kick Attempt Good",41736,15,"01:58:00",10,13,NA,95
2018090906,992,2,"Extra Point","Kick Attempt Good",43689,15,"14:54:00",16,14,NA,95
2018090906,1270,2,"Field Goal","Kick Attempt Good",41736,15,"11:17:00",17,14,33,25
2018090906,1674,2,"Extra Point","Kick Attempt Good",41736,15,"04:42:00",17,23,NA,25
2018090906,1768,2,"Extra Point","Kick Attempt Good",41736,15,"04:27:00",17,30,NA,25
2018090906,2094,2,"Extra Point","Kick Attempt Good",43689,15,"00:55:00",23,31,NA,95
2018090906,2539,3,"Field Goal","Kick Attempt Good",41736,18,"11:29:00",24,31,36,28
2018090906,3080,3,"Extra Point","Kick Attempt Good",41736,15,"02:58:00",24,40,NA,25
2018090906,3511,4,"Extra Point","Kick Attempt Good",41736,15,"12:19:00",24,47,NA,95
2018090906,4096,4,"Field Goal","Kick Attempt No Good",41736,26,"04:57:00",32,48,44,84
2018090907,292,1,"Field Goal","Kick Attempt Good",43068,21,"10:17:00",0,0,39,31
2018090907,801,1,"Field Goal","Kick Attempt Good",43937,9,"00:26:00",0,3,27,101
2018090907,1201,2,"Field Goal","Kick Attempt Good",43068,21,"07:22:00",3,3,39,89
2018090907,1485,2,"Extra Point","Kick Attempt Good",43068,15,"02:42:00",3,12,NA,95
2018090907,1848,2,"Field Goal","Kick Attempt Good",43937,13,"00:07:00",3,13,31,23
2018090907,2248,3,"Field Goal","Kick Attempt Good",43937,26,"09:23:00",6,13,44,84
2018090907,3301,4,"Extra Point","Kick Attempt Good",43068,20,"11:24:00",9,19,NA,90
2018090909,1305,2,"Extra Point","Kick Attempt Good",40125,15,"04:10:00",0,13,NA,95
2018090909,1800,2,"Extra Point","Kick Attempt Good",40125,15,"00:08:00",0,20,NA,95
2018090909,3089,4,"Field Goal","Kick Attempt Good",40125,13,"12:16:00",0,21,31,23
2018090910,1236,2,"Extra Point","Kick Attempt Good",35102,15,"08:50:00",6,0,NA,95
2018090910,2008,2,"Field Goal","Kick Attempt Good",35102,9,"00:07:00",7,0,27,101
2018090910,2777,3,"Field Goal","Kick Attempt No Good",40775,29,"02:44:00",10,0,47,39
2018090910,2976,4,"Extra Point","Non-Special Teams Result",NA,15,"14:12:00",16,0,NA,25
2018090912,443,1,"Extra Point","Kick Attempt Good",41688,15,"07:11:00",0,6,NA,25
2018090912,836,2,"Field Goal","Kick Attempt Good",41688,8,"15:00:00",0,7,26,102
2018090912,1746,2,"Extra Point","Kick Attempt Good",41688,15,"00:39:00",0,16,NA,95
2018090912,2143,3,"Field Goal","Kick Attempt Good",41688,15,"09:18:00",0,17,33,95
2018090912,2795,4,"Extra Point","Kick Attempt Good",32386,15,"13:59:00",9,20,NA,95
2018090912,3050,4,"Extra Point","Kick Attempt Good",32386,15,"09:01:00",16,20,NA,95
2018090912,3486,4,"Field Goal","Kick Attempt Good",41688,14,"02:42:00",17,20,32,24
2018090912,3584,4,"Extra Point","Kick Attempt Good",32386,15,"02:13:00",23,23,NA,95
2018091000,82,1,"Extra Point","Kick Attempt Good",31446,15,"14:40:00",6,0,NA,95
2018091000,657,1,"Extra Point","Kick Attempt Good",41175,15,"04:20:00",7,6,NA,25
2018091000,946,2,"Field Goal","Kick Attempt Good",41175,17,"15:00:00",7,7,35,93
2018091000,1234,2,"Field Goal","Kick Attempt No Good",31446,37,"09:28:00",7,10,55,47
