"time","x","y","s","a","dis","o","dir","event","nflId","displayName","position","team","frameId","playId","gameId"
"2021-01-03T18:18:20.000",49.22,22.59,2.94,0.84,0.29,295.45,288.68,"field_goal_attempt",46298,"Jason Sanders","K","away",26,376,2021010300
"2021-01-03T18:18:22.600",47.83,22.92,0.7,0.34,0.07,316.55,26.73,"field_goal",46298,"Jason Sanders","K","away",52,376,2021010300
"2021-01-03T18:49:01.800",33.47,22.7,2.97,0.82,0.3,309.03,291.07,"extra_point_attempt",52596,"Tyler Bass","K","home",25,1080,2021010300
"2021-01-03T18:49:03.600",31.68,23,0.4,0.74,0.04,238.24,116.42,"extra_point",52596,"Tyler Bass","K","home",43,1080,2021010300
"2021-01-03T19:04:31.400",33.69,22.62,3.31,0.22,0.32,305.88,294.03,"extra_point_attempt",52596,"Tyler Bass","K","home",25,1470,2021010300
"2021-01-03T19:04:33.700",31.76,23.39,0.67,0.5,0.06,264.09,125.71,"extra_point",52596,"Tyler Bass","K","home",48,1470,2021010300
"2021-01-03T19:11:48.200",33.42,22.68,3.21,0.58,0.31,308.23,291.29,"extra_point_attempt",52596,"Tyler Bass","K","home",26,1612,2021010300
"2021-01-03T19:11:50.300",31.6,22.98,0.69,0.59,0.07,287.32,92.64,"extra_point",52596,"Tyler Bass","K","home",47,1612,2021010300
"2021-01-03T19:24:09.700",87.45,25.1,3.03,0.84,0.3,116.54,105.79,"field_goal_attempt",46298,"Jason Sanders","K","away",25,1947,2021010300
"2021-01-03T19:24:11.400",89.06,25.22,0.56,0.69,0.05,90.34,313.87,"field_goal",46298,"Jason Sanders","K","away",42,1947,2021010300
"2021-01-03T19:28:46.200",33.51,22.62,3.11,0.96,0.3,298.87,289.91,"extra_point_attempt",52596,"Tyler Bass","K","home",25,2085,2021010300
"2021-01-03T19:28:48.100",31.38,22.52,0.68,1.17,0.06,243.58,104.69,"extra_point",52596,"Tyler Bass","K","home",44,2085,2021010300
"2021-01-03T19:55:25.200",86.7,27.9,3.22,0.8,0.32,101.08,107.43,"extra_point_attempt",46298,"Jason Sanders","K","away",26,2555,2021010300
"2021-01-03T19:55:27.000",88.28,27.9,0.71,1.11,0.07,111.49,270.22,"extra_point",46298,"Jason Sanders","K","away",44,2555,2021010300
"2021-01-03T20:07:04.100",33.57,22.68,2.87,0.82,0.29,291.51,287.7,"extra_point_attempt",52596,"Tyler Bass","K","home",25,2800,2021010300
"2021-01-03T20:07:06.000",31.63,22.62,0.38,1.03,0.03,259.62,116.89,"extra_point",52596,"Tyler Bass","K","home",44,2800,2021010300
"2021-01-03T20:35:09.100",86.24,30.97,3.07,0.29,0.3,124.04,110.22,"extra_point_attempt",52596,"Tyler Bass","K","home",25,3532,2021010300
"2021-01-03T20:35:11.200",87.88,30.06,0.73,0.73,0.07,69.9,287.71,"extra_point",52596,"Tyler Bass","K","home",46,3532,2021010300
"2021-01-03T20:41:55.200",86.27,30.97,3.48,0.56,0.34,116.94,108.31,"extra_point_attempt",52596,"Tyler Bass","K","home",23,3660,2021010300
"2021-01-03T20:41:57.200",88,30.19,0.74,0.24,0.07,125.69,273.59,"extra_point",52596,"Tyler Bass","K","home",43,3660,2021010300
"2021-01-03T21:00:52.500",86.16,30.96,3.25,0.62,0.32,115.01,109.44,"extra_point_attempt",52596,"Tyler Bass","K","home",24,4252,2021010300
"2021-01-03T21:00:54.000",88.46,30.42,0.19,1.27,0.02,96.99,137.93,"extra_point",52596,"Tyler Bass","K","home",39,4252,2021010300
"2021-01-03T21:07:41.200",33.39,25.63,3.05,1.34,0.3,299.5,285.16,"extra_point_attempt",46298,"Jason Sanders","K","away",26,4478,2021010300
"2021-01-03T21:07:42.900",31.45,25.5,0.42,0.86,0.04,255.58,185.25,"extra_point",46298,"Jason Sanders","K","away",43,4478,2021010300
"2021-01-03T21:34:07.900",33.67,25.91,3.76,1.29,0.37,332.35,281.58,"extra_point_attempt",43689,"Wil Lutz","K","away",25,355,2021010301
"2021-01-03T21:34:09.600",31.54,25.39,0.84,0.88,0.08,248.73,246.25,"extra_point",43689,"Wil Lutz","K","away",42,355,2021010301
"2021-01-03T21:55:48.900",86.16,27.37,3.22,1.39,0.33,112.98,105.96,"extra_point_attempt",48337,"Joey Slye","K","home",25,836,2021010301
"2021-01-03T21:55:51.200",87.21,26.84,0.65,0.62,0.07,139.46,232.41,"extra_point",48337,"Joey Slye","K","home",48,836,2021010301
"2021-01-03T22:21:23.900",86.2,27.04,3.04,1.71,0.31,132.34,106.8,"extra_point_attempt",43689,"Wil Lutz","K","away",26,1356,2021010301
"2021-01-03T22:45:08.900",86.29,27.44,2.7,2.22,0.28,126.87,101.35,"field_goal_attempt",43689,"Wil Lutz","K","away",27,1950,2021010301
"2021-01-03T22:45:10.900",87.69,27.97,0.55,0.7,0.05,71.57,87.49,"field_goal",43689,"Wil Lutz","K","away",47,1950,2021010301
"2021-01-03T23:04:37.400",48.74,28.68,3.32,0.66,0.32,300.2,283.38,"field_goal_attempt",43689,"Wil Lutz","K","away",26,2156,2021010301
"2021-01-03T23:04:39.600",46.21,28.78,1.04,0.14,0.1,325.51,277.72,"field_goal",43689,"Wil Lutz","K","away",48,2156,2021010301
"2021-01-03T23:28:29.600",33.92,25.56,3.32,0.68,0.3,333.74,286.22,"extra_point_attempt",43689,"Wil Lutz","K","away",26,2692,2021010301
"2021-01-03T23:28:31.300",31.7,25.21,0.79,1.02,0.08,246.16,260.01,"extra_point",43689,"Wil Lutz","K","away",43,2692,2021010301
"2021-01-03T23:44:18.200",85.99,27.27,3.07,0.76,0.3,129.71,107.41,"extra_point_attempt",43689,"Wil Lutz","K","away",26,3039,2021010301
"2021-01-03T23:44:20.200",88.53,27.29,1.22,0.37,0.11,127.16,99.26,"extra_point",43689,"Wil Lutz","K","away",46,3039,2021010301
"2021-01-03T21:42:01.200",33.35,29.01,2.93,0.83,0.29,120.27,286.83,"extra_point_attempt",41991,"Cairo Santos","K","home",24,430,2021010302
"2021-01-03T21:42:02.700",31.72,28.56,0.36,1.11,0.04,81.16,145.25,"extra_point",41991,"Cairo Santos","K","home",39,430,2021010302
"2021-01-03T22:00:38.100",34.13,28.83,2.93,1.63,0.28,297.52,281.58,"extra_point_attempt",32386,"Mason Crosby","K","away",20,807,2021010302
"2021-01-03T22:00:39.700",32.02,28.52,0.49,1.76,0.04,232.69,96.34,"extra_point",32386,"Mason Crosby","K","away",36,807,2021010302
"2021-01-03T22:09:30.400",88.59,24.88,3.28,1.54,0.32,314.25,108.39,"field_goal_attempt",41991,"Cairo Santos","K","home",25,1069,2021010302
"2021-01-03T22:09:31.500",90.44,24.67,0.19,2.56,0.02,233.79,336.4,"field_goal",41991,"Cairo Santos","K","home",36,1069,2021010302
"2021-01-03T22:16:25.900",33.93,28.94,3.04,0.79,0.29,299.76,280.85,"extra_point_attempt",32386,"Mason Crosby","K","away",25,1223,2021010302
"2021-01-03T22:16:27.200",32.19,28.7,0.37,1.79,0.03,240.21,114.33,"extra_point",32386,"Mason Crosby","K","away",38,1223,2021010302
"2021-01-03T22:31:44.500",33.96,28.92,3.05,0.73,0.3,301.83,279.48,"extra_point_attempt",32386,"Mason Crosby","K","away",19,1578,2021010302
"2021-01-03T22:31:45.800",32.15,28.81,0.28,1.58,0.02,251.15,129.92,"extra_point",32386,"Mason Crosby","K","away",32,1578,2021010302
"2021-01-03T22:48:30.700",91.86,31.21,3.14,1.24,0.29,318.38,119.84,"field_goal_attempt",41991,"Cairo Santos","K","home",25,2043,2021010302
"2021-01-03T22:48:31.600",93.52,30.65,0.58,3.16,0.07,241.8,65.1,"field_goal",41991,"Cairo Santos","K","home",34,2043,2021010302
"2021-01-03T23:18:08.500",21.02,28.73,3.29,2.4,0.31,132.36,287.71,"field_goal_attempt",41991,"Cairo Santos","K","home",24,2517,2021010302
"2021-01-03T23:18:09.600",19.01,28.99,0.32,3.15,0.03,50.64,155.36,"field_goal",41991,"Cairo Santos","K","home",35,2517,2021010302
"2021-01-04T00:01:21.600",33.97,28.85,2.87,0.45,0.28,298.1,282.32,"extra_point_attempt",32386,"Mason Crosby","K","away",25,3370,2021010302
"2021-01-04T00:01:22.800",32.16,28.86,0.22,2.11,0.02,241.71,143.6,"extra_point",32386,"Mason Crosby","K","away",37,3370,2021010302
"2021-01-04T00:09:45.000",34.01,28.81,2.91,1.5,0.28,296.75,281.09,"extra_point_attempt",32386,"Mason Crosby","K","away",25,3597,2021010302
"2021-01-04T00:09:46.800",32.26,29.08,0.83,1.24,0.08,287.11,30.15,"extra_point",32386,"Mason Crosby","K","away",43,3597,2021010302
"2021-01-03T18:11:42.700",34.15,28.62,2.71,2.5,0.28,307.06,287.84,"field_goal_attempt",39470,"Justin Tucker","K","away",27,354,2021010303
"2021-01-03T18:11:44.300",32.73,27.9,0.63,1.31,0.06,244.73,132.88,"field_goal",39470,"Justin Tucker","K","away",43,354,2021010303
"2021-01-03T18:27:04.500",33.13,27.78,2.9,2.13,0.3,314.5,293.07,"extra_point_attempt",39470,"Justin Tucker","K","away",25,679,2021010303
"2021-01-03T18:27:06.000",31.17,27.24,0.76,1.32,0.08,212.89,185.59,"extra_point",39470,"Justin Tucker","K","away",40,679,2021010303
